"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25407","@Login Login POM test","chromium","2026-03-23","passed","2026-03-23","","loginPOM.spec.js","",""
"","4412","new vision project with custom data","chromium","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","3351","new vision project with custom data","firefox","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","3968","UI Controls drop-drown","chromium","2026-03-22","passed","2026-03-22","","UIBasicstest.spec.js","",""
"","6436","new vision project with akash","firefox","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","7781","UI Controls drop-drown","firefox","2026-03-22","passed","2026-03-22","","UIBasicstest.spec.js","",""
"","16315","Popup Validations test","chromium","2026-03-23","passed","2026-03-23","","MoreValidations.spec.js","",""
"","6407","new vision project with bhanu","firefox","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","4657","new vision project with bhanu","webkit","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","7836","new vision project with bhanu","chromium","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","4807","new vision project with custom data","webkit","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","1133","update using PUT [update object] API test","chromium","2026-03-22","passed","2026-03-22","","apiTestRaghav.spec.js","",""
"","1266","update using PUT [update object] API test","firefox","2026-03-22","passed","2026-03-22","","apiTestRaghav.spec.js","",""
"","12430","new vision project with akash","chromium","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","1349","update using PUT [update object] API test","webkit","2026-03-22","passed","2026-03-22","","apiTestRaghav.spec.js","",""
"","47019","Screenshot & Visual Comparision test","chromium","2026-03-23","passed","2026-03-23","","MoreValidations.spec.js","",""
"","6116","new vision project with akash","webkit","2026-03-22","passed","2026-03-22","","nvPOM.spec.js","",""
"","5990","UI Controls drop-drown","webkit","2026-03-22","passed","2026-03-22","","UIBasicstest.spec.js","",""
